# Simulation 1 (Up to date)
# 305 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (92.7 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (oz),Propellant mass (oz),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (ft/s²),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,39.736,0,39.736,0,0,0,0,0,0,28.61,-80.6,32.127,90,0,0,0,47.986,3.4088,8.1718,0.063642,NaN,33.374,NaN,0.005134,176367,29.797,0,0.60264,0,0.40681,0.075821,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4,12.566,90,0,NaN,59,1013.2,1116.8,0.01,0.0026749
0.01,0.0019868,0.39736,180.82,0.39736,180.82,0,0,0,0,0,0,28.61,-80.6,32.127,86.08,0,0,0,47.986,3.4088,8.1718,0.063642,NaN,33.374,NaN,0.0052047,178795,88.296,7.2421e-6,0.60131,4.6466e-4,0.40549,0.075821,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0875e-5,4,12.566,90,0,NaN,59,1013.2,1116.8,0.01,0.0032772
0.02,0.015003,2.206,234.85,2.206,234.85,0,0,0,0,0,0,28.61,-80.6,32.127,69.384,0,0,0,47.973,3.3961,8.1696,0.063641,NaN,33.369,NaN,0.0056103,192728,110.67,9.9322e-4,0.59413,0.054845,0.3983,0.075821,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8245e-4,4,12.566,90,0,NaN,59,1013.2,1116.8,0.01,0.0036282
0.03,0.048809,4.5554,238.4,4.5554,238.4,0,0,0,0,0,0,28.61,-80.6,32.127,52.467,0,0,0,47.954,3.3773,8.1664,0.063639,NaN,33.361,NaN,0.0066955,230008,112.11,0.0064731,0.57794,0.25096,0.38211,0.075822,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.8324e-4,4,12.566,90,0,NaN,59,1013.2,1116.8,0.01,0.0040224
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.10629,6.9404,229.92,6.9404,229.92,0,0,0,0,0,0,28.61,-80.6,32.127,40.819,0,0,0,47.931,3.3539,8.1623,0.063638,NaN,33.351,NaN,0.0082121,282106,108.55,0.017106,0.56045,0.44088,0.36462,0.075822,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8861e-4,4,12.566,90,0,NaN,59,1013.2,1116.8,0.01,0.0044338
0.05,0.18719,9.2405,221.39,9.2405,221.39,0,0,0,0,0,0,28.61,-80.6,32.127,33.258,0,0,0,47.907,3.3306,8.1583,0.063636,NaN,33.341,NaN,0.0098951,339918,104.98,0.031296,0.54551,0.55555,0.34968,0.075823,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011831,4,12.566,90,0,NaN,58.999,1013.2,1116.8,0.01,0.0048245
0.06,0.29067,11.455,221.39,11.455,221.39,0,0,0,0,0,0,28.61,-80.6,32.127,27.869,0,0,0,47.884,3.3073,8.1543,0.063634,NaN,33.332,NaN,0.011603,398599,104.95,0.047915,0.53347,0.61855,0.33763,0.075824,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014667,4,12.566,90,0,NaN,58.999,1013.2,1116.8,0.01,0.005259
0.07,0.41629,13.67,227.26,13.67,227.26,0,0,0,0,0,0,28.61,-80.6,32.127,23.889,0,0,0,47.86,3.2836,8.1502,0.063633,NaN,33.322,NaN,0.013388,459892,107.34,0.066841,0.52317,0.6482,0.32732,0.075826,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017502,4,12.566,90,0,NaN,58.999,1013.2,1116.8,0.01,0.0056348
0.08,0.56436,15.943,233.14,15.943,233.14,0,0,0,0,0,0,28.61,-80.6,32.127,20.785,0,0,0,47.836,3.2595,8.146,0.063631,NaN,33.312,NaN,0.01527,524566,109.74,0.088318,0.51412,0.6583,0.31826,0.075827,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0020413,4,12.566,90,0,NaN,58.998,1013.2,1116.8,0.01,0.006377
